number,item_id,name,died,nationality,occupation,life_status,bio,critical,type,tense,condition,match,mismatch,bio_spr,critical_spr,list,bare_verb,file_name
31,31,Agatha Christie,1976,English,author,dead,Agatha Christie was an English author. She was raised in Devon.,She was made a Dame for her contributions to literature. ,filler,PastPass,deadPastPass,yes,no,Agatha Christie*was*an English author.*She*was raised*in Devon.,She*was made*a Dame*for her contributions*to literature. ,filler,be made,Agatha_Christie.jpg
2,2,Al Pacino,alive,American,actor and filmmaker,alive,Al Pacino is an American actor and filmmaker. He grew up in New York City.,She has been called one of the best actors in film history.,filler,PPPass,alivePPPass,no,gender,Al Pacino*is*an American actor and filmmaker.*He*grew up*in New York City.,She*has been called*one of the best*actresses*in film history.,filler,be called,Al_Pacino.jpg
4,4,Cameron Diaz,alive,American,actress,alive,Cameron Diaz is an American actress. She lives in California.,She was named the highest-paid Hollywood actress over 40 in 2013.,filler,PastPass,alivePastPass,yes,no,Cameron Diaz*is*an American actress.*She*lives*in California.,She*was named*the highest-paid*Hollywood actress over 40*in 2013.,filler,be named,Cameron_Diaz.jpg
28,28,Cass Elliot,1974,American,musician,dead,Cass Elliot was an American musician. She died in in London.,She was best known as a member of The Mamas and the Papas.,filler,PastPass,deadPastPass,yes,no,Cass Elliot*was*an American musician.*She*died*in London.,She*was best known*as a member*of*The Mamas and the Papas.,filler,be known,Cass_Elliot.png
14,14,Chiwetel Ejiofor,alive,English,actor,alive,Chiwetel Ejiofor is an English actor. He lives in London.,He graduated from Academy of Music and Dramatic Art later this year.,filler,PS,alivePastPass,no,temporal,Chiwetel Ejiofor*is*an English actor.*He*lives*in London.,He*graduated from*Academy of Music*and Dramatic Art*later this year.,filler,graduate,Chiwetel_Ejiofor.jpg
11,11,David Tennant,alive,Scottish,actor,alive,David Tennant is a Scottish actor. He was born in Bathgate.,He is best known for his role in <i>Doctor Who</i>.,filler,PresPass,alivePresPass,yes,no,David Tennant*is*a Scottish actor.*He*was born*in Bathgate.,He*is best known*for his role*in*<i>Doctor Who</i>.,filler,be known,David_Tennant.png
24,24,Dolores O’Riordan,2018,Irish,musician,dead,Dolores O’Riordan was an Irish musician. She was born in 1971.,She was best known as the lead vocalist of The Cranberries.,filler,PastPass,deadPastPass,yes,no,Dolores O’Riordan*was*an Irish musician.*She*was born*in 1971.,She*was best known*as the lead*vocalist*of The Cranberries.,filler,be known,Dolores_O’Riordan.png
7,7,Elon  Musk,alive,American,business magnate,alive,Elon  Musk is an American business magnate. He was born in South Africa.,He has promoted cryptocurrencies over government-issued currencies.,filler,PP,alivePP,yes,no,Elon Musk*is*an American business magnate.*He*was born*in South Africa.,He*has promoted*cryptocurrencies*over government-issued*currencies.,filler,promote,Elon_Musk.jpg
16,16,Gotye,alive,Australian,musician,alive,Gotye is a Belgian-Australian musician. He was born in 1980.,"His single ""Somebody That I Used to Know"" reached number one next year.",filler,PS,alivePresPass,no,temporal,Gotye*is*a Belgian-Australian musician.*He*was born*in 1980.,"His single*""Somebody That I Used to Know""*reached*number one*next year.",filler,reach,Gotye.jpg
29,29,Henry Ford,1947,American,businessman,dead,Henry Ford was an American businessman. He was born in Michigan.,He was regarded as the father of mass production in automobile industry.,filler,PastPass,deadPastPass,yes,no,Henry Ford*was*an American businessman.*He*was born*in Michigan.,He*was regarded*as the father*of mass production*in automobile industry.,filler,be regarded,Henry_Ford.jpg
13,13,Idris Elba,alive,American,actor,alive,John Krasinski is an American actor. He was born in Boston.,"He is married to an award-winning actress, Emily Blunt.",filler,PresPass,alivePresPass,no,temporal,John Krasinski*is*an American actor.*He*was born*in Boston.,"He*is married*to the award-winning*actress,*Emily Blunt.",filler,be married,Idris_Elba.png
20,20,J. K. Rowling,alive,British,author,alive,J. K. Rowling is a British author. She was born in 1965.,She is one of the most successful footballers in history.,filler,PresS,alivePP,no,occupation,J. K. Rowling*is*a British author.*She*was born*in 1965.,She*is*one of the most successful*footballers*in history.,filler,be credited,JK_Rowling.jpg
22,22,John Belushi,1982,American,actor,dead,John Belushi was an English actor. He was raised near Chicago.,She was an original cast member of <i>Saturday Night Live<i>.,filler,PS,deadPS,no,gender,John Belushi*was*an English actor.*He*was raised*near Chicago.,She*was*an original*cast member*of <i>Saturday Night Live<i>.,filler,be,John_Belushi.jpg
12,12,John Boyega,alive,English-Nigerian,actor,alive,John Boyega is an English-Nigerian actor. He lives in London.,He is known for his role in the <i>Star Wars</i> films.,filler,PresPass,alivePresPass,yes,no,John Boyega*is*an English-Nigerian actor.*He*lives*in London.,She*is known*for her role*in the <i>Star Wars</i>*films.,filler,be known,John_Boyega.png
23,23,Kofi Annan,2018,Ghanaian,diplomat,dead,Kofi Annan  was a Ghanaian diplomat. He was born in 1938.,She was the 7th Secretary-General of the United Nations.,filler,PS,deadPS,no,gender,Kofi Annan*was*a Ghanaian diplomat.*He*was born*in 1938.,She*was*the 7th*Secretary-General*of the United Nations.,filler,be,Kofi_Annan.png
3,3,Lady Gaga,alive,American,musician,alive,Lady Gaga is an American musician. She lives in Malibu.,He is known for his musical versatility and image reinventions.,filler,PresPass,alivePresPass,no,gender,Lady Gaga*is*an American musician.*She*lives*in Malibu.,He*is known*for his*musical versatility*and image reinventions.,filler,be known,Lady_Gaga.jpg
32,32,Laurel and Hardy,1965/1957,American-British,comedy duo,dead,Laurel and Hardy were an American-British comedy duo. ,He was widely known for his slapstick comedy.,filler,PastPass,deadPS,no,number,Laurel and Hardy*were*an American-British comedy duo.,He*was widely known*for his*slapstick*comedy.,filler,be known,Laurel_and_Hardy.png
33,33,Led Zeppelin,1980,English,band,dead,Led Zeppelin were an English rock band. They formed in 1968.,He was cited as one of the progenitors of hard rock and heavy metal.,filler,PastPass,deadPastPass,no,number,Led Zeppelin*were*an English rock band.*They*formed*in 1968.,He*was cited*as one of the progenitors*of hard rock*and heavy metal.,filler,be cited,Led_Zeppelin.png
